Id,gr_liv_area,overall_qual,neighborhood_nridght,garage_cars,exter_qual,kitchen_qual,neighborhood_stonebr,bsmt_exposure,bldg_type_1fam,house_style_1story,fireplace_qu,mas_vnr_area,bsmtfin_type_1,neighborhood_noridge,total_baths,sale_type_new,year_remod_add,exterior_1st_brkface,functional,bldg_type_twnhse,land_contour_bnk,neighborhood_edwards,mas_vnr_type_brkface,neighborhood_crawfor,full_bath,roof_style_hip,land_contour_hls,bldg_type_twnhs,garage_type_none,bsmtfin_sf_1
380,2524,8,0,2.0,4,4,0,1,1,1,4,0.0,5,0,4.0,0,1981,1,7,0,0,0,0,0,3.0,1,0,0,0,1104.0
2860,1517,8,0,2.0,3,4,0,1,1,0,4,0.0,1,0,1.0,0,1950,1,7,0,0,0,0,1,1.0,0,1,0,0,0.0
2517,1494,8,0,2.0,4,5,0,3,0,1,4,0.0,2,0,3.0,0,1996,1,7,1,0,0,0,0,2.0,1,0,0,0,437.0
1933,948,6,0,2.0,3,3,0,1,1,1,0,0.0,5,0,1.0,0,1952,0,7,0,0,0,0,0,1.0,1,0,0,0,441.0
820,1718,8,0,3.0,4,4,0,4,1,1,4,336.0,6,0,3.0,0,2008,0,7,0,0,0,0,0,3.0,1,0,0,0,1288.0
675,1142,6,0,1.0,3,3,0,4,1,1,4,82.0,1,0,1.0,0,1958,0,7,0,0,0,1,0,1.0,0,1,0,0,0.0
2910,1475,5,0,1.0,3,3,0,1,0,0,3,0.0,5,0,2.0,0,1977,0,7,1,0,0,0,0,2.0,0,0,0,0,548.0
21,1844,6,0,2.0,3,3,0,1,1,1,3,480.0,4,0,2.0,0,1977,0,7,0,0,0,1,0,2.0,1,0,0,0,705.0
1873,1242,7,0,2.0,3,3,0,1,1,1,3,320.0,5,0,2.0,0,1973,0,7,0,0,0,1,0,1.0,1,0,0,0,916.0
2125,990,5,0,1.0,3,3,0,1,1,1,0,0.0,6,0,2.0,0,1994,0,7,0,0,0,0,0,2.0,0,0,0,0,420.0
1489,1256,5,0,1.0,4,3,0,1,1,1,0,0.0,4,0,3.0,0,1965,0,7,0,0,1,0,0,2.0,0,0,0,0,830.0
2383,2076,10,1,3.0,5,5,0,4,1,1,4,0.0,6,0,4.0,1,2006,0,7,0,0,0,0,0,3.0,0,0,0,0,1386.0
1325,1795,5,0,1.0,3,3,0,1,1,0,0,335.0,1,0,2.0,0,1954,0,7,0,0,0,1,0,2.0,0,0,0,0,0.0
1378,1040,5,0,1.0,3,3,0,1,1,1,0,0.0,3,0,2.0,0,1965,0,7,0,0,0,0,0,2.0,1,0,0,0,906.0
1537,1873,8,0,2.0,3,3,0,1,1,0,4,40.0,2,0,2.0,0,1950,1,7,0,0,0,0,1,1.0,0,1,0,0,210.0
905,1604,5,0,2.0,3,3,0,1,1,0,0,0.0,2,0,2.0,0,1960,0,5,0,0,1,0,0,2.0,0,0,0,0,408.0
1532,1502,7,0,1.0,3,3,0,1,1,0,4,0.0,1,0,2.0,0,2000,0,7,0,0,0,0,1,1.0,0,1,0,0,0.0
132,1063,5,0,1.0,3,3,0,1,1,1,0,110.0,3,0,2.0,0,1954,0,7,0,0,0,0,0,2.0,0,0,0,0,354.0
1078,1626,7,1,2.0,4,4,0,1,0,0,0,106.0,1,0,3.0,0,2004,0,7,0,0,0,0,0,2.0,0,0,1,0,0.0
2511,1524,6,0,2.0,4,4,0,1,0,0,0,513.0,6,0,3.0,0,2000,0,7,1,0,0,1,0,2.0,0,0,0,0,353.0
912,1981,4,0,2.0,3,4,0,1,1,0,3,0.0,4,0,3.0,0,1950,0,5,0,0,0,0,0,3.0,0,0,0,0,622.0
2351,2784,7,0,2.0,3,4,0,1,1,0,3,184.0,4,0,5.0,0,1978,0,7,0,0,0,1,0,4.0,0,0,0,0,790.0
330,1092,4,0,0.0,3,3,0,1,0,0,0,0.0,6,0,2.0,0,1970,0,7,0,0,0,0,0,1.0,0,0,1,1,176.0
2586,1575,6,0,2.0,3,4,0,1,1,1,4,522.0,1,0,2.0,0,1951,0,7,0,0,0,1,0,1.0,1,0,0,0,0.0
224,1352,6,0,1.0,3,3,0,1,1,0,0,143.0,5,0,2.0,0,1969,0,7,0,0,0,0,0,1.0,0,0,0,0,371.0
98,1200,7,0,2.0,4,4,0,1,0,0,0,0.0,6,0,4.0,0,2005,0,7,0,0,0,0,0,3.0,0,0,1,0,368.0
2565,936,5,0,1.0,3,3,0,1,1,1,0,0.0,4,0,1.0,0,1975,0,7,0,0,0,0,0,1.0,0,0,0,0,486.0
1934,1040,6,0,1.0,3,3,0,1,1,1,0,0.0,3,0,2.0,0,1953,0,7,0,0,0,0,0,1.0,1,0,0,0,85.0
997,1636,6,0,2.0,3,3,0,1,1,0,3,0.0,3,0,3.0,0,1996,0,7,0,0,0,0,0,2.0,0,0,0,0,138.0
64,2270,8,0,3.0,4,4,0,1,1,0,4,348.0,6,1,3.0,0,2007,0,7,0,0,0,1,0,2.0,0,0,0,0,524.0
1799,2610,8,0,2.0,4,5,0,3,1,0,4,0.0,6,0,3.0,1,2007,0,7,0,0,0,0,0,2.0,0,0,0,0,64.0
230,1483,7,0,2.0,4,3,0,4,1,1,3,0.0,5,0,3.0,0,2001,0,7,0,0,0,0,0,2.0,1,0,0,0,1092.0
1295,1740,5,0,1.0,2,5,0,1,1,0,4,0.0,3,0,1.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,360.0
638,1382,5,0,1.0,3,4,0,1,1,1,0,0.0,3,0,2.0,0,1955,0,7,0,0,0,0,0,1.0,0,0,0,0,172.0
2278,1120,5,0,0.0,3,3,0,1,1,1,0,0.0,5,0,1.0,1,2007,0,7,0,0,0,0,0,1.0,0,0,0,1,206.0
2202,1098,7,0,1.0,3,3,0,1,1,0,4,0.0,6,0,2.0,0,1995,0,7,0,0,0,0,1,2.0,0,0,0,0,246.0
2833,1708,7,0,2.0,4,4,0,1,0,0,0,117.0,1,0,2.0,0,2004,0,3,1,0,1,0,0,2.0,0,0,0,0,0.0
1707,1802,9,1,3.0,5,5,0,4,1,1,4,510.0,1,0,3.0,0,2006,0,7,0,0,0,0,0,2.0,1,1,0,0,0.0
2428,1506,7,0,2.0,4,4,0,4,0,1,4,145.0,6,0,2.0,0,2005,0,7,1,0,0,1,0,2.0,0,0,0,0,16.0
242,1508,7,0,2.0,4,4,0,4,1,1,3,96.0,6,0,2.0,0,2010,0,7,0,0,1,0,0,2.0,0,0,0,0,1346.0
1564,2032,7,0,3.0,4,4,0,2,1,1,0,668.0,6,0,4.0,0,1997,0,7,0,0,0,1,0,4.0,0,0,0,0,700.0
2832,1709,7,0,2.0,4,4,0,1,0,0,0,50.0,1,0,2.0,0,2004,0,3,0,0,1,0,0,2.0,0,0,1,0,0.0
2459,1616,7,0,3.0,4,4,0,3,1,1,0,228.0,1,0,2.0,0,2005,0,7,0,0,0,1,0,2.0,0,0,0,0,0.0
1360,768,6,0,2.0,4,3,0,1,1,1,0,0.0,1,0,1.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,0.0
2723,872,5,0,1.0,3,2,0,1,1,1,4,65.0,1,0,1.0,0,1950,1,4,0,0,0,0,0,1.0,0,0,0,0,0.0
1350,520,4,0,1.0,3,2,0,1,1,1,0,0.0,1,0,1.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,0.0
136,2274,5,0,2.0,3,3,0,1,0,0,0,361.0,3,0,2.0,0,1960,0,7,0,0,0,1,0,2.0,0,0,0,0,443.0
2235,1601,5,0,0.0,4,3,0,1,1,0,0,0.0,1,0,2.0,0,2003,0,7,0,0,0,0,0,2.0,0,0,0,1,0.0
1993,1232,5,0,2.0,3,3,0,1,1,0,0,0.0,4,0,1.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,168.0
367,2234,9,0,3.0,5,5,1,1,1,1,4,748.0,6,0,3.0,1,2009,0,7,0,0,0,0,0,3.0,1,0,0,0,1904.0
1309,1416,5,0,3.0,3,3,0,2,1,0,4,0.0,1,0,2.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,0.0
402,864,4,0,2.0,3,3,0,1,1,1,0,0.0,5,0,1.0,0,2006,0,7,0,0,0,0,0,1.0,0,0,0,0,240.0
1592,1189,6,0,2.0,3,3,0,1,0,1,0,197.0,6,0,3.0,0,1997,0,7,1,0,0,1,0,3.0,1,0,0,0,864.0
2409,1666,9,1,2.0,5,4,0,1,0,1,4,572.0,6,0,3.0,1,2006,0,7,1,0,0,1,0,3.0,1,0,0,0,415.0
539,1200,7,0,2.0,4,4,0,1,1,1,0,0.0,6,0,3.0,0,2003,0,7,0,0,0,0,0,3.0,0,0,0,0,833.0
1940,928,5,0,1.0,3,3,0,1,1,1,0,0.0,3,0,1.0,0,2000,0,7,0,0,0,0,0,1.0,1,0,0,0,377.0
588,1336,5,0,2.0,3,3,0,2,1,1,2,128.0,5,0,3.0,0,1969,0,7,0,0,0,1,0,2.0,0,0,0,0,553.0
96,1200,7,0,2.0,4,4,0,3,0,0,0,120.0,6,0,3.0,0,2004,0,7,1,0,0,1,0,2.0,0,0,0,0,280.0
1187,1427,6,0,2.0,3,3,0,3,1,0,0,0.0,6,0,3.0,0,1969,0,7,0,0,0,0,0,2.0,0,0,0,0,828.0
2154,1992,7,0,2.0,4,4,0,2,1,0,3,254.0,6,0,4.0,0,2002,0,5,0,0,0,1,0,3.0,0,0,0,0,762.0
550,1540,7,0,2.0,4,4,0,1,1,0,0,0.0,2,0,4.0,0,1994,0,7,0,0,0,0,0,3.0,0,0,0,0,36.0
811,1535,5,0,2.0,3,3,0,0,0,1,0,0.0,0,0,2.0,0,1979,0,7,0,1,0,0,0,2.0,0,0,0,0,0.0
124,1152,5,0,2.0,3,3,0,3,1,0,4,86.0,6,0,2.0,0,1964,0,7,0,0,0,1,0,2.0,1,0,0,0,1014.0
1836,1151,8,0,2.0,4,4,0,1,0,1,0,30.0,6,0,3.0,1,2007,0,7,1,0,0,0,0,3.0,0,0,0,0,60.0
779,1138,6,0,2.0,3,3,0,3,1,0,3,54.0,4,0,2.0,0,1960,0,7,0,0,0,1,0,1.0,1,0,0,0,588.0
1886,1074,5,0,2.0,3,4,0,1,1,1,4,0.0,3,0,1.0,0,1956,0,6,0,0,0,0,0,1.0,1,0,0,0,438.0
1724,1561,9,1,2.0,5,5,0,1,0,1,4,246.0,6,0,3.0,0,2005,0,7,1,0,0,1,0,3.0,1,0,0,0,1153.0
2450,2726,8,0,3.0,4,4,0,1,1,0,5,397.0,5,1,3.0,0,1995,0,7,0,0,0,1,0,2.0,1,0,0,0,527.0
1013,1884,9,0,3.0,5,5,1,4,1,1,4,296.0,6,0,3.0,0,2004,0,7,0,0,0,1,0,3.0,1,1,0,0,1337.0
2084,605,4,0,0.0,3,3,0,2,1,1,0,0.0,5,0,2.0,0,2002,0,7,0,0,1,0,0,2.0,0,0,0,1,348.0
1184,1671,8,0,2.0,5,5,0,2,1,1,4,0.0,6,0,4.0,0,2007,0,7,0,0,0,0,0,4.0,0,0,0,0,1044.0
728,797,3,0,0.0,3,3,0,1,1,1,0,0.0,1,0,1.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,1,0.0
950,1961,6,0,2.0,3,4,0,1,1,0,3,0.0,5,0,4.0,0,2002,0,7,0,0,0,0,0,3.0,0,0,0,0,690.0
2524,1193,5,0,2.0,3,3,0,1,0,1,0,144.0,6,0,3.0,0,1972,0,7,0,0,0,1,0,3.0,0,0,0,0,962.0
2513,1382,7,0,2.0,4,4,0,1,0,0,0,0.0,6,0,4.0,0,2000,0,7,0,0,0,0,0,3.0,0,0,1,0,641.0
2028,2526,6,0,1.0,3,4,0,1,1,0,4,0.0,3,0,2.0,0,1950,0,7,0,0,0,0,0,2.0,0,0,0,0,168.0
2309,1390,6,0,2.0,3,5,0,4,1,1,4,902.0,5,0,3.0,0,1957,0,6,0,0,0,0,0,2.0,0,0,0,0,1110.0
51,1626,7,1,2.0,4,4,0,1,0,0,0,106.0,1,0,3.0,0,2003,0,7,0,0,0,0,0,2.0,0,0,1,0,0.0
699,1558,5,0,2.0,3,3,0,1,1,0,4,0.0,5,0,2.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,421.0
1881,1422,5,0,1.0,3,3,0,1,1,1,3,0.0,1,0,1.0,0,1978,0,6,0,0,0,0,0,1.0,1,0,0,0,0.0
1345,1573,5,0,2.0,3,3,0,1,1,0,4,0.0,1,0,2.0,0,1992,0,7,0,0,0,0,0,2.0,0,0,0,0,0.0
166,1116,6,0,2.0,3,3,0,1,1,1,0,261.0,1,0,2.0,0,1962,0,7,0,0,0,1,0,1.0,1,0,0,0,0.0
781,660,2,0,0.0,3,2,0,0,1,1,0,0.0,0,0,1.0,0,1950,0,5,0,0,0,0,0,1.0,0,0,0,1,0.0
379,1707,6,0,2.0,3,3,0,1,1,1,3,144.0,5,0,2.0,0,1998,0,7,0,0,0,1,0,2.0,0,0,0,0,832.0
2818,1466,5,0,2.0,3,2,0,1,1,1,4,132.0,4,0,2.0,0,1959,0,7,0,0,1,1,0,1.0,0,0,0,0,176.0
1168,1638,9,0,2.0,4,5,0,3,0,1,3,260.0,6,0,3.0,0,2000,0,7,1,0,0,1,0,3.0,1,0,0,0,1027.0
838,1764,6,0,2.0,3,4,0,1,1,0,0,0.0,6,0,4.0,0,1997,0,7,0,0,0,0,0,3.0,0,0,0,0,821.0
1492,996,5,0,0.0,3,3,0,1,1,1,4,0.0,4,0,2.0,0,1969,0,7,0,0,1,0,0,2.0,0,0,0,1,290.0
637,1202,5,0,1.0,3,3,0,1,1,1,0,0.0,3,0,2.0,0,1956,1,7,0,0,0,0,0,1.0,0,0,0,0,435.0
1826,988,5,0,2.0,3,3,0,1,1,1,0,57.0,3,0,2.0,0,1961,0,7,0,0,0,1,0,2.0,1,0,0,0,827.0
173,1028,5,0,2.0,3,3,0,1,1,1,4,0.0,1,0,1.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,0.0
715,1284,5,0,1.0,3,3,0,1,1,0,0,0.0,2,0,2.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,312.0
1183,2944,9,0,3.0,4,4,0,1,1,0,4,1050.0,6,0,4.0,0,1977,0,7,0,0,0,1,0,2.0,0,0,0,0,410.0
2433,1414,8,0,2.0,4,4,0,3,1,0,4,0.0,1,0,3.0,0,2004,0,7,0,0,0,0,0,2.0,0,0,0,0,0.0
2866,1609,7,0,3.0,3,4,0,1,1,0,4,0.0,1,0,2.0,0,1990,0,7,0,0,0,0,1,1.0,0,1,0,0,0.0
2311,1525,6,0,2.0,3,3,0,1,1,0,3,0.0,6,0,4.0,0,1998,0,7,0,0,0,0,0,3.0,0,0,0,0,700.0
1551,1656,5,0,1.0,2,3,0,2,1,0,1,0.0,3,0,2.0,0,1967,0,4,0,0,0,0,0,1.0,1,0,0,0,257.0
1049,1055,7,0,2.0,3,3,0,1,0,1,0,0.0,5,0,2.0,0,1977,0,7,0,0,0,0,0,2.0,0,0,1,0,378.0
657,1352,5,0,2.0,3,4,0,1,1,0,0,0.0,1,0,3.0,0,2006,0,7,0,0,0,0,0,2.0,0,0,0,0,0.0
414,1456,6,0,2.0,3,3,0,1,0,0,3,0.0,5,0,3.0,0,1977,0,7,0,0,0,0,0,2.0,0,0,1,0,389.0
1181,1719,8,0,2.0,4,4,0,4,0,1,4,0.0,6,0,4.0,0,1993,1,7,1,0,0,0,0,3.0,0,0,0,0,1619.0
1514,864,5,0,0.0,3,3,0,1,1,1,0,0.0,3,0,2.0,0,1950,0,7,0,0,1,0,0,2.0,0,0,0,1,468.0
1040,987,6,0,1.0,3,3,0,1,0,0,0,359.0,2,0,3.0,0,1973,0,7,0,0,0,1,0,1.0,0,0,1,0,458.0
216,1020,5,0,0.0,3,3,0,1,1,0,0,0.0,1,0,1.0,0,1996,0,7,0,0,0,0,0,1.0,0,0,0,1,0.0
1720,1554,8,1,2.0,4,4,0,2,0,1,4,108.0,6,0,2.0,0,2006,0,7,0,0,0,0,0,2.0,0,0,1,0,24.0
2331,3390,10,0,3.0,5,5,1,4,1,0,5,662.0,1,0,4.0,1,2006,0,7,0,0,0,1,0,3.0,1,1,0,0,0.0
204,1560,6,0,0.0,4,4,0,1,1,0,0,0.0,1,0,2.0,0,2009,0,7,0,0,0,0,0,1.0,0,0,0,1,0.0
19,864,4,0,2.0,3,3,0,1,1,1,0,0.0,2,0,1.0,0,1951,0,7,0,0,0,0,0,1.0,0,0,0,0,120.0
2438,1889,6,0,2.0,3,3,0,1,1,0,3,0.0,5,0,3.0,0,2000,0,7,0,0,0,0,0,2.0,0,0,0,0,732.0
89,1040,5,0,1.0,3,3,0,1,1,1,0,0.0,5,0,3.0,0,2010,0,7,0,0,0,0,0,2.0,0,0,0,0,659.0
240,1172,5,0,1.0,3,3,0,3,1,1,0,0.0,4,0,2.0,0,1998,0,7,0,0,1,0,0,2.0,0,0,0,0,954.0
105,1418,8,0,3.0,4,4,0,1,1,1,4,0.0,6,0,3.0,1,2010,0,7,0,0,0,0,0,2.0,0,0,0,0,1032.0
2020,1367,6,0,1.0,3,3,0,1,1,0,4,0.0,2,0,1.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,425.0
888,1922,7,0,2.0,4,4,0,0,1,0,5,500.0,0,0,3.0,0,2003,0,7,0,0,1,1,0,3.0,0,0,0,0,0.0
1019,1422,6,0,2.0,3,4,0,1,1,1,3,210.0,6,0,2.0,0,1981,0,7,0,0,0,1,0,2.0,0,0,0,0,588.0
2132,1842,7,0,2.0,4,4,0,1,1,0,3,144.0,6,0,4.0,0,2000,0,7,0,0,0,1,0,3.0,0,0,0,0,841.0
203,1962,4,0,2.0,3,3,0,1,1,0,3,0.0,1,0,2.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,0.0
420,1120,5,0,2.0,4,3,0,1,1,1,3,165.0,4,0,2.0,0,2004,0,7,0,0,0,1,0,1.0,1,0,0,0,644.0
2333,2868,9,0,3.0,4,5,1,3,1,0,4,208.0,6,0,4.0,1,2006,0,7,0,0,0,0,0,3.0,1,0,0,0,240.0
632,1478,6,0,2.0,3,3,0,1,1,1,4,0.0,5,0,3.0,0,1957,1,7,0,0,0,0,0,2.0,1,0,0,0,189.0
2800,1995,7,0,2.0,4,4,0,3,1,0,3,0.0,6,0,4.0,0,1996,0,7,0,0,0,0,0,3.0,0,0,0,0,685.0
1885,912,5,0,1.0,3,3,0,1,1,1,0,0.0,4,0,2.0,0,1985,0,7,0,0,0,0,0,1.0,0,0,0,0,111.0
1734,1326,6,0,2.0,3,4,0,3,1,1,0,0.0,6,0,3.0,0,2005,0,7,0,0,0,0,0,3.0,0,0,0,0,918.0
2327,1204,8,0,2.0,3,3,1,1,0,1,0,0.0,1,0,2.0,0,1987,0,7,1,0,0,0,0,2.0,0,0,0,0,0.0
1282,1611,6,0,2.0,3,3,0,4,1,0,0,360.0,6,0,3.0,0,1964,0,7,0,0,0,1,0,2.0,0,0,0,0,674.0
2688,960,4,0,2.0,3,3,0,3,0,1,0,160.0,5,0,2.0,0,1970,0,7,0,0,0,1,0,2.0,0,0,0,0,789.0
2581,1236,5,0,1.0,3,4,0,1,1,1,2,64.0,4,0,2.0,0,1996,0,6,0,0,0,1,0,1.0,0,0,0,0,360.0
2067,1416,5,0,2.0,3,4,0,1,1,1,0,0.0,1,0,2.0,0,2007,0,7,0,0,0,0,0,2.0,0,0,0,0,0.0
2115,1873,7,0,2.0,4,4,0,1,1,0,3,360.0,6,0,4.0,0,1988,0,7,0,0,0,1,0,3.0,0,0,0,0,608.0
754,2128,5,0,0.0,3,3,0,1,0,0,0,0.0,1,0,2.0,0,1950,0,1,0,1,0,0,0,2.0,1,0,0,1,0.0
1079,1626,7,1,2.0,4,4,0,1,0,0,0,106.0,6,0,4.0,0,2004,0,7,0,0,0,0,0,3.0,0,0,1,0,573.0
2615,816,5,0,1.0,3,3,0,1,1,1,0,0.0,6,0,2.0,0,1957,0,7,0,0,0,0,0,2.0,0,0,0,0,708.0
329,1112,5,0,1.0,3,3,0,1,0,0,0,0.0,3,0,2.0,0,1976,0,7,1,0,0,0,0,1.0,0,0,0,0,129.0
1320,1111,7,0,1.0,3,3,0,1,1,0,4,0.0,1,0,1.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,0.0
416,1441,6,0,2.0,3,3,0,1,0,0,3,0.0,5,0,3.0,0,1978,0,7,0,0,0,0,0,2.0,0,0,1,0,311.0
284,924,4,0,1.0,3,2,0,1,0,0,0,0.0,4,0,2.0,0,1950,0,7,0,0,1,0,0,2.0,0,0,0,0,348.0
1385,1126,5,0,2.0,3,3,0,3,1,0,0,0.0,2,0,2.0,0,1984,0,7,0,0,0,0,0,2.0,0,0,0,0,104.0
275,992,5,0,1.0,3,3,0,1,1,1,0,0.0,1,0,1.0,0,1954,0,7,0,0,1,0,0,1.0,0,0,0,0,0.0
2024,1376,6,0,2.0,3,4,0,1,1,0,0,0.0,1,0,1.0,0,1950,0,7,0,1,0,0,0,1.0,0,0,0,0,0.0
68,1218,7,0,2.0,4,4,0,1,1,1,0,0.0,1,0,2.0,1,2010,0,7,0,0,0,0,0,2.0,1,0,0,0,0.0
1910,1644,5,0,1.0,3,4,0,1,1,0,4,224.0,2,0,2.0,0,1995,0,7,0,0,0,0,0,1.0,0,0,0,0,386.0
381,1601,7,0,2.0,3,3,0,1,1,1,3,206.0,5,0,2.0,0,1978,0,7,0,0,0,1,0,2.0,0,0,0,0,704.0
1323,2495,7,0,2.0,3,3,0,2,1,0,4,0.0,1,0,2.0,0,1999,0,7,0,0,0,0,0,2.0,0,0,0,0,0.0
2432,1509,6,0,2.0,4,4,0,1,1,0,4,0.0,6,0,4.0,0,2003,0,7,0,0,0,0,0,3.0,0,0,0,0,457.0
777,1092,5,0,1.0,3,3,0,1,1,1,1,116.0,2,0,2.0,0,1962,0,7,0,0,0,1,0,1.0,0,0,0,0,170.0
1107,2418,7,0,3.0,4,4,0,4,1,0,3,651.0,6,1,4.0,0,1994,0,7,0,0,0,1,0,3.0,1,0,0,0,1173.0
30,987,6,0,1.0,3,3,0,1,0,0,0,504.0,3,0,2.0,0,1971,0,7,0,0,0,1,0,1.0,0,0,1,0,156.0
282,1121,4,0,2.0,3,3,0,1,1,1,0,0.0,1,0,2.0,0,2004,0,7,0,0,1,0,0,2.0,0,0,0,0,0.0
188,1236,6,0,2.0,3,3,0,1,1,1,0,0.0,6,0,2.0,0,1996,0,7,0,0,0,0,0,2.0,0,0,0,0,600.0
2356,1074,5,0,2.0,3,3,0,1,1,1,0,0.0,5,0,3.0,0,1975,0,7,0,0,0,0,0,2.0,0,0,0,0,788.0
1554,733,1,0,2.0,2,2,0,0,1,1,0,0.0,0,0,1.0,0,1952,0,0,0,0,0,0,0,1.0,0,0,0,0,0.0
1464,1768,7,0,2.0,4,4,0,1,1,0,0,252.0,6,0,4.0,0,2003,0,7,0,0,0,1,0,3.0,0,0,0,0,550.0
